location varience,speed mean,total distance,transition time
-21.452512154558807,1.3577540743866005e-08,9.775829335583522e-05,0.0
-21.18642679740244,2.1212772764637026e-08,0.0001527319639053866,0.0
-22.046287477571976,1.3160984574373567e-08,9.475908893548967e-05,0.0
-22.42377973963173,1.347723036566126e-08,9.703605863276106e-05,0.0
-22.176992858951955,9.211867291657343e-09,6.632544449993287e-05,0.0
-22.276529801598922,1.0304434810154638e-08,7.41919306331134e-05,0.0
-21.776812030031643,1.7691773111199886e-08,0.00012738076640063918,0.0
-22.49944727613429,7.48542708128711e-09,4.161706351325552e-05,0.2851610273134937
-22.008490876118792,1.5434376791099284e-08,0.00011112751289591483,0.0
-22.261680052237306,1.2129157811368801e-08,8.73299362418554e-05,0.0
-21.591658866116248,1.6779977706349455e-08,0.00012081583948571609,0.0
-21.254356528349852,2.121458264481485e-08,0.00010182999669511127,0.0
-19.847265018848194,2.5158399067656317e-08,0.00018122331597310174,0.3998333333333333
-20.082054964436402,4.1497548256568987e-08,0.00029878234744729667,0.4
-24.35532396998733,2.7863459870507683e-09,2.0061691106765535e-05,0.0
-21.005636705596697,1.3785424145871877e-08,9.925505385027752e-05,0.0
-7.054091540135147,1.0884265493903432e-05,0.0597136283640277,0.25366666666666665
-20.872911125964194,1.6448543220709993e-08,0.00011842951118911196,0.2
-21.939059342029363,1.5342576918039757e-08,0.00011046655380988628,0.0
-21.174336759568515,1.7558617712898903e-08,0.00012642204753287215,0.0
-23.011422193488063,1.060783671912832e-06,3.175432021879037e-05,0.0
-17.047436081970964,9.411030347837541e-08,0.0005673631921202708,0.7498436522826767
-8.208590695434241,5.663526516134318e-06,0.0407773909161671,0.6
-19.447175554483124,4.5876080596903224e-08,0.0003303077802977032,0.2
-19.648857788529693,3.2739699410367664e-08,0.00023572583575464718,0.0
-19.13185164700911,4.680533790224218e-08,0.00033699843289614366,0.0
-18.9662610993706,6.343833692485187e-08,0.0004567560258589335,0.0
-6.737678143794958,4.156436197908084e-06,0.05971286341014659,0.2
-21.46609497921772,1.3572148293976888e-08,9.773117282708256e-05,0.0
-22.163977665797923,1.2895906763185832e-08,7.515789596683965e-05,0.2374727668845316
-24.2705589276338,1.803543987243769e-06,1.3393604912612943e-05,0.0
-16.958082594642754,7.743421580917571e-08,0.0004646052948550542,0.5
-20.717446469031493,2.1574605521088074e-08,0.00015533715975183415,0.0
-19.043481924451637,4.052219822159402e-08,0.0002917598271954769,0.2
-18.88745412933553,5.6661536872850616e-08,0.00040796306548452444,0.2
-19.17744896443085,2.221508297899764e-08,0.000159948597448783,0.0
-21.3508849860711,7.237642580148785e-09,5.211102657707125e-05,0.0
-19.924314339277565,3.189422139875895e-08,0.0002296383940710645,0.0
-19.686367144685796,3.804199389605778e-08,0.000273902356051616,0.0
-6.965828607758101,7.677986050564721e-06,0.059721514424379896,0.6
-19.63533921506024,2.711714785389129e-08,0.00019520666650236612,0.6001000166694449
-22.372212370481225,1.1846552624896199e-08,8.529517889925262e-05,0.0
-7.433801186189523,8.29625054581151e-06,0.05968338141003825,0.19983333333333334
-26.990220412434525,5.134307275404205e-10,3.0805843652425226e-06,0.25
-21.646799401700328,2.4266060224726265e-08,0.00017475300883658499,0.0
-20.016540918953677,4.063678054398861e-08,0.00029258481991671805,0.0
-6.8427299804821216,6.284085757307273e-06,0.06001810523533498,0.9991666666666666
-18.043454857961944,8.754924554713381e-08,0.0006303545679393635,0.2
